SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
Crab,10311001006,B,Crab_sl_PA150,2.07295E+04,85.4267,22.8988,152.7913,NA,N,Crab SL
Crab,10311001008,A,Crab_sl_PA150,1.97478E+04,85.4231,22.9092,153.6299,,N,Crab SL
Crab,10311001008,B,Crab_sl_PA150,1.97478E+04,85.4231,22.9092,153.6299,NA,N,Crab SL
Crab,10402002002,A,Crab_sl_PA330,1.92805E+04,81.8477,21.1243,329.8904,,N,Crab SL
Crab,10402002002,B,Crab_sl_PA330,1.92805E+04,81.8477,21.1243,329.8904,NA,N,Crab SL
Crab,10402002004,A,Crab_sl_PA330,2.08482E+04,81.8416,21.132,331.271,,N,Crab SL
Crab,10402002004,B,Crab_sl_PA330,2.08482E+04,81.8416,21.132,331.271,NA,N,Crab SL
Crab,10402002006,A,Crab_sl_PA330,2.00852E+04,81.84,21.1321,331.3013,,N,Crab SL
Crab,10402002006,B,Crab_sl_PA330,2.00852E+04,81.84,21.1321,331.3013,NA,N,Crab SL
Crab,10402004002,A,Crab_sl_PA150,2.34630E+04,85.4394,22.9094,152.5363,,N,Crab SL
Crab,10402004002,B,Crab_sl_PA150,2.34630E+04,85.4394,22.9094,152.5363,NA,N,Crab SL
Crab,10402004004,A,Crab_sl_PA150,3.25962E+04,85.4395,22.9104,152.5469,,N,Crab SL
Crab,10402004004,B,Crab_sl_PA150,3.25962E+04,85.4395,22.9104,152.5469,NA,N,Crab SL
Crab,10402004006,A,Crab_sl_PA150,3.94499E+04,85.436,22.9087,152.5709,,N,Crab SL
Crab,10402004006,B,Crab_sl_PA150,3.94499E+04,85.436,22.9087,152.5709,NA,N,Crab SL
Crab,10502002002,A,Crab_sl_PA330,2.90940E+04,81.8401,21.1126,329.6879,,N,Crab SL
Crab,10502002002,B,Crab_sl_PA330,2.90940E+04,81.8401,21.1126,329.6879,NA,N,Crab SL
Crab,10502002004,A,Crab_sl_PA330,2.87060E+04,81.8331,21.1194,331.2001,,N,Crab SL
Crab,10502002004,B,Crab_sl_PA330,2.87060E+04,81.8331,21.1194,331.2001,NA,N,Crab SL
Crab,10502006002,A,Crab_sl_A12_PA333,4.41127E+03,85.525,23.0131,332.6773,1,N,Crab SL
